Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,Veritas H,340 ,TEU,3950 ,2906 ,Antigua & Barbuda,1995 ,12 ,Elbewerft GmbH,Hinsch Reederei
Container,Caribe Mariner,340 ,TEU,3950 ,2899 ,Antigua & Barbuda,1995 ,11 ,Elbewerft GmbH,Hyde Shpg. Corp.
Container,Letfallah III,238 ,TEU,3873 ,1598 ,Tanzania,1976 ,12 ,Husumer S.W.,Hamza Shipping Co
Container,Sinar Salju,242 ,TEU,3872 ,2894 ,Indonesia,1988 ,,Imabari SB (Imabari),Salam Pacific
Container,Sagami,404 ,TEU,3853 ,2446 ,Japan,2013 ,11 ,Koike Shipbuilding,Imoto Shoun
Container,Heung-A Pusan,204 ,TEU,3795 ,1864 ,South Korea,1991 ,5 ,Shina S.B.,Heung-A Shipping
Container,Jin Long,300 ,TEU,3769 ,3843 ,Mongolia,1985 ,,Kochi Jyuko Co.,Dalian Containership
Container,Ganesa Abadi,128 ,TEU,3738 ,1858 ,Indonesia,1975 ,,Imai Zosen Kochi,Aboitiz Transport
Container,Nova,204 ,TEU,3724 ,3140 ,South Korea,1991 ,6 ,Shina S.B.,Heung-A Shipping
Container,Mentari Sejahtera,171 ,TEU,3702 ,2797 ,Indonesia,1997 ,7 ,Shandong Weihai SY,Mentari Sejati
Container,Hai Shu Lin,186 ,TEU,3599 ,2507 ,Peoples' Republic of China,2006 ,5 ,Guangzhou Southern,Xiamen ITG
Container,Luci 1,200 ,TEU,3500 ,2998 ,Panama,2005 ,12 ,Unknown China,Redisca Co. Ltd.
Container,Mag Bride,301 ,TEU,3500 ,2599 ,St. Kitts & Nevis,1999 ,4 ,Niestern Sander,Mag Container Lines
Container,Mag Pearl,301 ,TEU,3480 ,2599 ,St. Kitts & Nevis,1998 ,12 ,Niestern Sander,Mag Container Lines
Container,Al Hussein,301 ,TEU,3480 ,2599 ,St. Kitts & Nevis,1998 ,3 ,Tille Schpsb.,Mag Container Lines
Container,Selinay S,301 ,TEU,3480 ,2559 ,Panama,1998 ,5 ,Tille Schpsb.,Seahorse Shipping
Container,Global Nampo,200 ,TEU,3478 ,3072 ,Sierra Leone,1991 ,12 ,Wuchang SB Group,Royal Armadas
Container,Aviva Denver,103 ,TEU,3460 ,1927 ,Unknown,1985 ,3 ,Sanyo Zosen,Unknown
Container,Alken Penang,235 ,TEU,3455 ,3106 ,Indonesia,1982 ,6 ,Ast. Construcc.,Alkan Abadi
Container,Rania,174 ,TEU,3403 ,2316 ,Moldova,1977 ,3 ,J. J. Sietas,Unknown
Container,Syros Wind,262 ,TEU,3398 ,2749 ,Malta,1987 ,11 ,J. J. Sietas,Thetis Shipholding
