Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,OwnerGroup
Container,Kapalua Kontor,1118 ,TEU,13760 ,9912 ,Marshall Islands,2007 ,9 ,CSC Qingshan SY,Rickmers Group
Container,Fancourt Kontor,1118 ,TEU,13760 ,9912 ,Marshall Islands,2007 ,10 ,CSC Qingshan SY,Rickmers Group
Container,MCC Sandigan,1118 ,TEU,13760 ,9957 ,Gibraltar,2008 ,6 ,CSC Jinling Shipyard,Vroon
Container,MCC Sandiwa,1118 ,TEU,13760 ,9957 ,Gibraltar,2008 ,10 ,CSC Jinling Shipyard,Vroon
Container,Taga Bay,1100 ,TEU,13760 ,9966 ,Liberia,2007 ,8 ,Taizhou Kouan SB,NSC Schiffahrt
Container,Jasper S,1118 ,TEU,13760 ,9957 ,Antigua & Barbuda,2007 ,10 ,CSC Jinling Shipyard,"Schepers, H."
Container,Ellen S,1118 ,TEU,13760 ,9957 ,Antigua & Barbuda,2007 ,7 ,CSC Jinling Shipyard,"Schepers, H."
Container,Devon Strait,1118 ,TEU,13760 ,9966 ,Madeira,2008 ,4 ,CSC Jinling Shipyard,Carsten Rehder
Container,Vega Sachsen,1118 ,TEU,13760 ,9966 ,Liberia,2008 ,7 ,Taizhou Kouan SB,Vega-Reederei
Container,Vega Saturn,1118 ,TEU,13760 ,9957 ,Liberia,2008 ,11 ,Taizhou Kouan SB,Vega-Reederei
Container,Vega Mercury,1118 ,TEU,13760 ,9966 ,Liberia,2009 ,3 ,Taizhou Kouan SB,Vega-Reederei
Container,OPS Hamburg,1118 ,TEU,13760 ,9966 ,Liberia,2007 ,11 ,CSC Jinling Shipyard,OPS Ocean Partners
Container,JJ Sun,1118 ,TEU,13760 ,9948 ,Hong Kong,2008 ,2 ,CSC Jinling Shipyard,Shanghai Jinjiang
Container,Abtin 1,1118 ,TEU,13760 ,9990 ,Iran,2008 ,8 ,CSC Jinling Shipyard,HDS Lines
Container,Vega Lupus,1118 ,TEU,13760 ,9966 ,Liberia,2006 ,10 ,CSC Qingshan SY,Vega-Reederei
Container,Mitra Bhum,1108 ,TEU,13760 ,9917 ,Singapore,2007 ,4 ,Jiangsu Eastern,Regional Cont. Lines
Container,Nawata Bhum,1108 ,TEU,13760 ,9917 ,Singapore,2008 ,1 ,Jiangsu Eastern,Regional Cont. Lines
Container,Vision,1118 ,TEU,13760 ,9957 ,Singapore,2006 ,12 ,CSC Jinling Shipyard,QC Container
Container,Perla,1118 ,TEU,13760 ,9990 ,Marshall Islands,2007 ,4 ,CSC Jinling Shipyard,F. Laeisz
Container,BC San Francisco,1118 ,TEU,13760 ,9996 ,Antigua & Barbuda,2006 ,9 ,CSC Jiangdong SY,Buss Group
Container,BC Mumbai,1118 ,TEU,13760 ,9956 ,Antigua & Barbuda,2006 ,12 ,CSC Jiangdong SY,Buss Group
