"","gid","gid","N","lon","lat"
"385","121.6502_31.3398","121.6502_31.3398",2223,121.6502,31.3398
"386","121.6487_31.3401","121.6487_31.3401",2,121.6487,31.3401
"387","121.6501_31.34","121.6501_31.34",836,121.6501,31.34
"388","121.65_31.3397","121.65_31.3397",48,121.65,31.3397
"389","121.6522_31.3389","121.6522_31.3389",1370,121.6522,31.3389
"390","121.6523_31.3388","121.6523_31.3388",1881,121.6523,31.3388
"391","121.6522_31.3388","121.6522_31.3388",1051,121.6522,31.3388
"392","121.6523_31.3389","121.6523_31.3389",1286,121.6523,31.3389
"393","121.9295_29.9369","121.9295_29.9369",173,121.9295,29.9369
"394","121.9295_29.937","121.9295_29.937",112,121.9295,29.937
"395","121.9294_29.9369","121.9294_29.9369",208,121.9294,29.9369
"396","121.9296_29.9368","121.9296_29.9368",17,121.9296,29.9368
"397","121.9296_29.9369","121.9296_29.9369",101,121.9296,29.9369
"398","121.9297_29.9368","121.9297_29.9368",9,121.9297,29.9368
"399","121.9295_29.9368","121.9295_29.9368",30,121.9295,29.9368
"400","121.9294_29.937","121.9294_29.937",298,121.9294,29.937
"401","121.9295_29.9371","121.9295_29.9371",70,121.9295,29.9371
"402","121.9296_29.937","121.9296_29.937",252,121.9296,29.937
